Column 1,Column 2,Column 3,Column 4,joined_address,json,lon,lat
9 E BROOKS AV,Las Vegas,NV,89030,"9 E BROOKS AV, Las Vegas, NV, 89030","[{""place_id"":""5036103260"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.214148654481,36.214248654481,-115.13833922572,-115.13823922572],""lat"":""36.2141986544814"",""lon"":""-115.138289225721"",""display_name"":""9, East Brooks Avenue, North Las Vegas, Clark, Nevada, 89030, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.415}]",-115.138289225721,36.2141986544814
81 N NELLIS BL,Las Vegas,NV,89110,"81 N NELLIS BL, Las Vegas, NV, 89110",[],,
23 FREMONT ST,Las Vegas,NV,96813,"23 FREMONT ST, Las Vegas, NV, 96813",[],,
81 W UTAH AV,Las Vegas,NV,89157,"81 W UTAH AV, Las Vegas, NV, 89157",[],,
93 N NELLIS BL,Las Vegas,NV,90015,"93 N NELLIS BL, Las Vegas, NV, 90015",[],,
73 30TH ST,Las Vegas,NV,89101,"73 30TH ST, Las Vegas, NV, 89101",[],,
110 N BOULDER HW,Las Vegas,NV,89015,"110 N BOULDER HW, Las Vegas, NV, 89015",[],,
70 CORPORATE PARK DR,Las Vegas,NV,89074,"70 CORPORATE PARK DR, Las Vegas, NV, 89074",[],,
27 DIAMOND CI,Las Vegas,NV,89106,"27 DIAMOND CI, Las Vegas, NV, 89106",[],,
108 WOODLEY ST,Las Vegas,NV,89106,"108 WOODLEY ST, Las Vegas, NV, 89106","[{""place_id"":""5032124544"",""licence"":""Data \u00a9 OpenStreetMap contributors, ODbL 1.0. http:\/\/www.openstreetmap.org\/copyright"",""boundingbox"":[36.171958474781,36.172058474781,-115.17059088218,-115.17049088218],""lat"":""36.1720084747811"",""lon"":""-115.170540882176"",""display_name"":""108, Woodley Street, Twin Lakes, Las Vegas, Clark, Nevada, 89106, United States of America"",""class"":""place"",""type"":""house"",""importance"":1.215}]",-115.170540882176,36.1720084747811
101 S RAINBOW BL,Las Vegas,NV,89081,"101 S RAINBOW BL, Las Vegas, NV, 89081",[],,
